,Unnamed: 0,longitude,latitude,code,name,state,nearest_town_distance,nearest_town_bearing,city,geometry
77,77,-74.796,43.718,LIME,Limekiln Lake - DEC,NY,2,S,Inlet,POINT (-74.796 43.718)
78,78,-73.579,44.139,LINC,Lincoln Pond - DEC,NY,2,SE,New Russia,POINT (-73.579 44.139)
79,79,-74.735,42.036,LITP,Little Pond - DEC,NY,9,SW,Margaretville,POINT (-74.735 42.036)
80,80,-74.551,43.417,LITS,Little Sand Point - DEC,NY,2,SW,Piseco,POINT (-74.551 43.417)
81,81,-76.221,44.026,LONG,Long Point State Park,NY,4,S,Three Mile Bay,POINT (-76.221 44.026)
82,82,-73.826,43.361,LUZE,Luzerne - DEC,NY,3,N,Lake Luzerne,POINT (-73.826 43.361)
83,83,-73.616,44.616,MACO,Macomb Reservation State Park,NY,3,W,Schuyler Falls,POINT (-73.616 44.616)
84,84,-73.932,41.84,MARG,Margaret Norrie State Park,NY,1,S,Staatsburg,POINT (-73.932 41.84)
85,85,-74.411,42.547,MAX,Max V Shaul State Park,NY,2,SW,Fultonham,POINT (-74.411 42.547)
86,86,-72.373,41.104,MCCA,McCanns Campground,NY,1,W,Greenport,POINT (-72.373 41.104)
87,87,-74.287,44.578,MEAC,Meacham Lake - DEC,NY,19,S,Malone,POINT (-74.287 44.578)
88,88,-74.399,43.493,MOFF,Moffitt Beach - DEC,NY,2,W,Speculator,POINT (-74.399 43.493)
89,89,-74.691,41.957,MONG,Mongaup Pond - DEC,NY,4,NE,DeBruce,POINT (-74.691 41.957)
90,90,-76.852,42.354,MONT,Montour Marina,NY,1,NW,Montour Falls,POINT (-76.852 42.354)
91,91,-73.707,43.227,MORE,Moreau Lake State Park,NY,4,NW,Gansevoort,POINT (-73.707 43.227)
92,92,-74.652,41.748,MORN,Morningside Park,NY,2,NW,South Fallsburg,POINT (-74.652 41.748)
93,93,-73.569,41.309,MOUL,Mountain Lakes Park,NY,2,S,North Salem,POINT (-73.569 41.309)
94,94,-74.518,41.699,MOUN,Mountaindale Park,NY,1,NE,Mountain Dale,POINT (-74.518 41.699)
95,95,-76.734,42.044,NEWT,Newtown Battlefield State Park,NY,5,SE,Elmira,POINT (-76.734 42.044)
96,96,-74.982,43.688,NICK,Nicks Lake - DEC,NY,9,S,Webb,POINT (-74.982 43.688)
97,97,-74.037,42.203,NORS,North/South Lake  - DEC,NY,3,E,Haines Falls,POINT (-74.037 42.203)
98,98,-74.18,43.187,NORT,Northampton Beach - DEC,NY,3,S,Northville,POINT (-74.18 43.187)
99,99,-76.109,43.218,ONEI,Oneida Shores County Park,NY,2,SE,Brewereton,POINT (-76.109 43.218)
100,100,-77.407,42.71,ONTA,Ontario County Park - Gannet Hill,NY,6,N,Naples,POINT (-77.407 42.71)
101,101,-75.418,42.181,OQUA,Oquaga Creek State Park,NY,8,S,Bainbridge,POINT (-75.418 42.181)
